anoCenso,cod,nome,codCidade,cidade,estado,regiao,situacaoFuncionamento,dependenciaAdministrativa,idebAI,idebAF,enemMediaGeral,situacaoFuncionamentoTxt,dependenciaAdministrativaTxt
2013,12008966,ESC ALTINA MAGALHAES DA SILVA,1200013,ACRELANDIA,AC,Norte,1,3,4.599999904632568,3.700000047683716,0.0,Em atividade,Municipal
2013,12023582,ESC BOM JESUS,1200013,ACRELANDIA,AC,Norte,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,12020613,ESC BRANCA DE NEVE,1200013,ACRELANDIA,AC,Norte,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,12023590,ESC CASTRO ALVES,1200013,ACRELANDIA,AC,Norte,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,12128236,ESC FAMILIA AGRICOLA JEAN PIERRE MINGAN,1200013,ACRELANDIA,AC,Norte,1,2,0.0,0.0,0.0,Em atividade,Estadual
2013,12023574,ESC JAIME DE ALENCAR,1200013,ACRELANDIA,AC,Norte,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,12009156,ESC JOSE PLACIDO DE CASTRO,1200013,ACRELANDIA,AC,Norte,1,3,4.300000190734863,0.0,0.0,Em atividade,Municipal
2013,12028312,ESC JOSE RODRIGUES CASSIMIRO,1200013,ACRELANDIA,AC,Norte,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,12021768,ESC MARCILIO PONTES DOS SANTOS,1200013,ACRELANDIA,AC,Norte,1,2,0.0,0.0,467.6080017089844,Em atividade,Estadual
2013,12018376,ESC MARECHAL RONDON,1200013,ACRELANDIA,AC,Norte,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,12009164,ESC MARIA DE JESUS RIBEIRO,1200013,ACRELANDIA,AC,Norte,1,2,4.900000095367432,3.700000047683716,0.0,Em atividade,Estadual
2013,12023531,ESC NOVO HORIZONTE,1200013,ACRELANDIA,AC,Norte,1,3,4.300000190734863,0.0,0.0,Em atividade,Municipal
2013,12009229,ESC PROF PEDRO DE CASTRO MEIRELES,1200013,ACRELANDIA,AC,Norte,1,2,0.0,4.199999809265137,0.0,Em atividade,Estadual
2013,12048224,ESC RITA BOCALOM,1200013,ACRELANDIA,AC,Norte,1,3,5.400000095367432,0.0,0.0,Em atividade,Municipal
2013,12018422,ESC SANTA LUCIA III,1200013,ACRELANDIA,AC,Norte,1,2,0.0,0.0,502.22601318359375,Em atividade,Estadual
2013,12022810,ESC SAO LUCAS,1200013,ACRELANDIA,AC,Norte,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,12009296,ESC SAO PEDRO,1200013,ACRELANDIA,AC,Norte,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,12019933,ESC 15 DE NOVEMBRO,1200054,ASSIS BRASIL,AC,Norte,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,12015768,ESC ALADIA AQUINO BONFIM,1200054,ASSIS BRASIL,AC,Norte,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,12015776,ESC ALBERTO MARTAN,1200054,ASSIS BRASIL,AC,Norte,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,12025984,ESC ALONSO GONCALVES GOMES,1200054,ASSIS BRASIL,AC,Norte,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,12022080,ESC ALTAMIRA,1200054,ASSIS BRASIL,AC,Norte,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,12027499,ESC ANTONIO RODRIGUES DOS ANJOS,1200054,ASSIS BRASIL,AC,Norte,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,12019887,ESC BAIXA VERDE,1200054,ASSIS BRASIL,AC,Norte,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,12015814,ESC BENEDITO BATISTA,1200054,ASSIS BRASIL,AC,Norte,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,12015849,ESC CARIOLANDO DE SOUZA GOMES,1200054,ASSIS BRASIL,AC,Norte,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,12121223,ESC CENTRO RURAL DE ENSINO MEDIO NATAL,1200054,ASSIS BRASIL,AC,Norte,1,2,0.0,0.0,0.0,Em atividade,Estadual
2013,12015830,ESC CHICO MENDES,1200054,ASSIS BRASIL,AC,Norte,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,12028223,ESC DE ENSINO FUNDAMENTAL SANDOVAL BATISTA DE ARAUJO,1200054,ASSIS BRASIL,AC,Norte,1,2,0.0,0.0,0.0,Em atividade,Estadual
2013,12015873,ESC EDILSA MARIA BATISTA,1200054,ASSIS BRASIL,AC,Norte,1,3,5.199999809265137,0.0,0.0,Em atividade,Municipal
2013,12031968,ESC ESTADUAL HIXTIWURU,1200054,ASSIS BRASIL,AC,Norte,1,2,0.0,0.0,0.0,Em atividade,Estadual
2013,12027502,ESC FRANCISCO CHAGAS DE SOUZA,1200054,ASSIS BRASIL,AC,Norte,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,12015890,ESC FRANCISCO MENEZES DE ARAUJO,1200054,ASSIS BRASIL,AC,Norte,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,12015920,ESC GEZILDA DE FREITAS PAIXAO,1200054,ASSIS BRASIL,AC,Norte,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,12022071,ESC HENRIQUE PASCOAL,1200054,ASSIS BRASIL,AC,Norte,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,12031941,ESC HOMHA,1200054,ASSIS BRASIL,AC,Norte,1,2,0.0,0.0,0.0,Em atividade,Estadual
2013,12031925,ESC HWATACHA,1200054,ASSIS BRASIL,AC,Norte,1,2,0.0,0.0,0.0,Em atividade,Estadual
2013,12027022,ESC INDIGENA ANANAIA,1200054,ASSIS BRASIL,AC,Norte,1,2,0.0,0.0,0.0,Em atividade,Estadual
2013,12026891,ESC INDIGENA BELO HORIZONTE,1200054,ASSIS BRASIL,AC,Norte,1,2,0.0,0.0,0.0,Em atividade,Estadual
2013,12021733,ESC INDIGENA BETEL,1200054,ASSIS BRASIL,AC,Norte,1,2,0.0,0.0,0.0,Em atividade,Estadual
2013,12032000,ESC INDIGENA EMILIO PANDALIA,1200054,ASSIS BRASIL,AC,Norte,1,2,0.0,0.0,0.0,Em atividade,Estadual
2013,12029270,ESC INDIGENA HIMATKALTSHI,1200054,ASSIS BRASIL,AC,Norte,1,2,0.0,0.0,0.0,Em atividade,Estadual
2013,12030660,ESC INDIGENA HOSHA,1200054,ASSIS BRASIL,AC,Norte,1,2,0.0,0.0,0.0,Em atividade,Estadual
2013,12032425,ESC INDIGENA HOTAWAKALU,1200054,ASSIS BRASIL,AC,Norte,1,2,0.0,0.0,0.0,Em atividade,Estadual
2013,12094234,ESC INDIGENA JORGE SIMAO DA SILVA,1200054,ASSIS BRASIL,AC,Norte,1,2,0.0,0.0,0.0,Em atividade,Estadual
