anoCenso,cod,nome,codCidade,cidade,estado,regiao,situacaoFuncionamento,dependenciaAdministrativa,idebAI,idebAF,enemMediaGeral,situacaoFuncionamentoTxt,dependenciaAdministrativaTxt
2013,29211999,COLEGIO JOAO HIPOLITO RODRIGUES,2900108,ABAIRA,BA,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,29421977,COLEGIO MUNICIPAL DE ABAIRA,2900108,ABAIRA,BA,Nordeste,1,3,0.0,3.700000047683716,0.0,Em atividade,Municipal
2013,29211590,EE - COLEGIO ESTADUAL DOUTOR FRANCISCO ROCHA FILHO,2900108,ABAIRA,BA,Nordeste,1,2,0.0,4.800000190734863,0.0,Em atividade,Estadual
2013,29212022,ESC MUL DOS CORREIAS,2900108,ABAIRA,BA,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,29211670,ESC MUL MANOEL OLIVEIRA,2900108,ABAIRA,BA,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,29211735,ESC PROF CARLOS SANTANA,2900108,ABAIRA,BA,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,29212057,ESCOLA MUL CATOLES DE CIMA,2900108,ABAIRA,BA,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,29212111,ESCOLA MUL RIBEIRAO DE BAIXO,2900108,ABAIRA,BA,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,29371112,ESCOLA MUN EUMAR PEREIRA,2900108,ABAIRA,BA,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,29212120,ESCOLA MUNICIPAL BARRA DE CATOLES,2900108,ABAIRA,BA,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,29211794,ESCOLA MUNICIPAL CARLITO COSTA,2900108,ABAIRA,BA,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,29211808,ESCOLA MUNICIPAL CASTRO ALVES,2900108,ABAIRA,BA,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,29211832,ESCOLA MUNICIPAL DALVA COSTA LIMA,2900108,ABAIRA,BA,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,29211840,ESCOLA MUNICIPAL DO ACENTO,2900108,ABAIRA,BA,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,29212138,ESCOLA MUNICIPAL DO ENGENHO,2900108,ABAIRA,BA,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,29211956,GRUPO ESCOLAR HORACIO DE MATOS,2900108,ABAIRA,BA,Nordeste,1,3,4.5,0.0,0.0,Em atividade,Municipal
2013,29373174,CENTRO DE EDUC INF MARIA BARBOSA CANARIO,2900207,ABARE,BA,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,29373115,CENTRO DE EDUCACAO INFANTIL IMACULADA CONCEICAO,2900207,ABARE,BA,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,29032520,CENTRO EDUCACIONAL MUNICIPAL AGROVILANO,2900207,ABARE,BA,Nordeste,1,3,0.0,3.799999952316284,0.0,Em atividade,Municipal
2013,29456886,COLEGIO ESTADUAL INDIGENA SANTO ANTONIO DO PAMBU,2900207,ABARE,BA,Nordeste,1,2,0.0,0.0,0.0,Em atividade,Estadual
2013,29033047,EE - COLEGIO ESTADUAL JOSEFINA GOMES DE ARAUJO - DIST DE IBO,2900207,ABARE,BA,Nordeste,1,2,0.0,3.700000047683716,0.0,Em atividade,Estadual
2013,29032539,EE - COLEGIO ESTADUAL SANTO ANTONIO DE ABARE,2900207,ABARE,BA,Nordeste,1,2,0.0,4.099999904632568,0.0,Em atividade,Estadual
2013,29023572,ESC DEMOCRATICA MUNICIPAL DE 1º GRAU AGROVILA 16,2900207,ABARE,BA,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,29032563,ESCOLA ANTONIO CARLOS MAGALHAES,2900207,ABARE,BA,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,29023564,ESCOLA DEMOCRATICA MUNICIPAL DE 1º GRAU AGROVILA 14,2900207,ABARE,BA,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,29024374,ESCOLA DEMOCRATICA MUNICIPAL DE 1ºAGROVILA 18,2900207,ABARE,BA,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,29366763,ESCOLA MUL SAO JOSE,2900207,ABARE,BA,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,29032610,ESCOLA MUNICIPAL ADAUTO PEREIRA DE SOUZA,2900207,ABARE,BA,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,29356407,ESCOLA MUNICIPAL AGROVILA 15,2900207,ABARE,BA,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,29430666,ESCOLA MUNICIPAL BRAULIO DIAS DO SOCORRO,2900207,ABARE,BA,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,29032989,ESCOLA MUNICIPAL CASTRO ALVES,2900207,ABARE,BA,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,29032636,ESCOLA MUNICIPAL CORACAO DE MARIA,2900207,ABARE,BA,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,29033055,ESCOLA MUNICIPAL DE 1º GRAU CORONEL JOAO BERNARDES,2900207,ABARE,BA,Nordeste,1,3,3.5999999046325684,0.0,0.0,Em atividade,Municipal
2013,29033020,ESCOLA MUNICIPAL EDESIO TOLENTINO,2900207,ABARE,BA,Nordeste,1,3,4.699999809265137,0.0,0.0,Em atividade,Municipal
2013,29032547,ESCOLA MUNICIPAL EMINELVINO DA FONSECA SOARES,2900207,ABARE,BA,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,29032903,ESCOLA MUNICIPAL EURIPEDES GOMES TAMARINDO,2900207,ABARE,BA,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,29033071,ESCOLA MUNICIPAL FRANCISCO FERREIRA BARBALHO,2900207,ABARE,BA,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,29032652,ESCOLA MUNICIPAL IRMA MARIA MADALENA,2900207,ABARE,BA,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,29032679,ESCOLA MUNICIPAL JOAO FELIX DO VALE,2900207,ABARE,BA,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,29032911,ESCOLA MUNICIPAL JOAO PAULO II,2900207,ABARE,BA,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,29032687,ESCOLA MUNICIPAL JOAQUIM SIMOES PAIVA,2900207,ABARE,BA,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,29032695,ESCOLA MUNICIPAL JORGE AMADO,2900207,ABARE,BA,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,29033080,ESCOLA MUNICIPAL JOSINO SOARES DA SILVA,2900207,ABARE,BA,Nordeste,1,3,0.0,2.700000047683716,0.0,Em atividade,Municipal
2013,29032890,ESCOLA MUNICIPAL JURACY MAGALHAES,2900207,ABARE,BA,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,29032938,ESCOLA MUNICIPAL MARCIONILIO DOS SANTOS,2900207,ABARE,BA,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,29373190,ESCOLA MUNICIPAL MONTEIRO LOBATO,2900207,ABARE,BA,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,29032725,ESCOLA MUNICIPAL NOSSA SENHORA DO PERPETUO SOCORRO,2900207,ABARE,BA,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,29032733,ESCOLA MUNICIPAL PROF WALTER AUGUSTO JONES,2900207,ABARE,BA,Nordeste,1,3,0.0,3.299999952316284,0.0,Em atividade,Municipal
2013,29032768,ESCOLA MUNICIPAL SANTA BARBARA,2900207,ABARE,BA,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,29356741,ESCOLA MUNICIPAL SANTA LUZIA,2900207,ABARE,BA,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,29032970,ESCOLA MUNICIPAL SANTA TERESINHA,2900207,ABARE,BA,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,29356563,ESCOLA MUNICIPAL SANTO ANTONIO,2900207,ABARE,BA,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,29032792,ESCOLA MUNICIPAL SANTO ANTONIO,2900207,ABARE,BA,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,29032881,ESCOLA MUNICIPAL SANTO ANTONIO DO PAMBU,2900207,ABARE,BA,Nordeste,1,3,3.700000047683716,3.299999952316284,0.0,Em atividade,Municipal
2013,29373220,ESCOLA MUNICIPAL SAO FRANCISCO DE ASSIS,2900207,ABARE,BA,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,29033110,ESCOLA MUNICIPAL SAO JOAO,2900207,ABARE,BA,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,29032741,ESCOLA MUNICIPAL SAO JOSE,2900207,ABARE,BA,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,29033101,ESCOLA MUNICIPAL SAO JOSE,2900207,ABARE,BA,Nordeste,1,3,0.0,3.0,0.0,Em atividade,Municipal
2013,29032997,ESCOLA MUNICIPAL SAO JUDAS TADEU,2900207,ABARE,BA,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,29032750,ESCOLA MUNICIPAL SAO PEDRO,2900207,ABARE,BA,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,29032865,ESCOLA MUNICIPAL SAO PEDRO,2900207,ABARE,BA,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,29033039,GRUPO ESCOLAR ESTEVAO SOARES,2900207,ABARE,BA,Nordeste,1,3,4.0,0.0,0.0,Em atividade,Municipal
2013,29033136,GRUPO ESCOLAR ISABEL DA SILVA RESENDE,2900207,ABARE,BA,Nordeste,1,3,5.5,0.0,0.0,Em atividade,Municipal
2013,29149746,CENTRO EDUCACIONAL ESCOLA VOVO SILVANO,2900306,ACAJUTIBA,BA,Nordeste,1,4,0.0,0.0,0.0,Em atividade,Privada
2013,29149568,COLEGIO PADRE JOSE DE ANCHIETA,2900306,ACAJUTIBA,BA,Nordeste,1,4,0.0,0.0,0.0,Em atividade,Privada
2013,29149541,EE - COLEGIO DEMOCRATICO ESTADUAL PROFESSORA MARIA ESPERANCA LOPES ANDRADE,2900306,ACAJUTIBA,BA,Nordeste,1,2,0.0,2.4000000953674316,0.0,Em atividade,Estadual
2013,29446740,EE - COLEGIO ESTADUAL ANTONIO DA COSTA BRITO,2900306,ACAJUTIBA,BA,Nordeste,1,2,0.0,0.0,452.9320068359375,Em atividade,Estadual
2013,29149738,ESCOLA MUNICIPAL ANTONIO CARLOS MAGALHAES,2900306,ACAJUTIBA,BA,Nordeste,1,3,3.5,0.0,0.0,Em atividade,Municipal
2013,29149681,ESCOLA MUNICIPAL ANTONIO JOAQUIM OLIVEIRA,2900306,ACAJUTIBA,BA,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,29417210,ESCOLA MUNICIPAL CORONEL SOCRATES SEABRA,2900306,ACAJUTIBA,BA,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,29149754,ESCOLA MUNICIPAL DAMASIO RODRIGUES DE ANDRADE,2900306,ACAJUTIBA,BA,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,29392853,ESCOLA MUNICIPAL DOUTOR GERALDO VASCONCELOS DE SEIXAS PEREIRA,2900306,ACAJUTIBA,BA,Nordeste,1,3,3.9000000953674316,2.5,0.0,Em atividade,Municipal
2013,29149657,ESCOLA MUNICIPAL JOAO ALVES DOS SANTOS,2900306,ACAJUTIBA,BA,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
