anoCenso,cod,nome,codCidade,cidade,estado,regiao,situacaoFuncionamento,dependenciaAdministrativa,idebAI,idebAF,enemMediaGeral,situacaoFuncionamentoTxt,dependenciaAdministrativaTxt
2013,52098290,CENTRO MUNICIPAL DE EDUCACAO INFANTIL SAINT CLAIR DE MENDONCA,5200050,ABADIA DE GOIAS,GO,Centro-Oeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,52040127,COLEGIO ESTADUAL MANOEL LIBANIO DA SILVA,5200050,ABADIA DE GOIAS,GO,Centro-Oeste,1,2,0.0,4.0,469.2380065917969,Em atividade,Estadual
2013,52092712,ESC MUL PROFESSOR NELI ANTONIO DOS SANTOS,5200050,ABADIA DE GOIAS,GO,Centro-Oeste,1,3,6.0,0.0,0.0,Em atividade,Municipal
2013,52091953,ESCOLA MARIA DE LOURDES,5200050,ABADIA DE GOIAS,GO,Centro-Oeste,1,4,0.0,0.0,0.0,Em atividade,Privada
2013,52260364,ESCOLA MUNICIPAL HILDEBRANDO CARDOSO LOURENCO,5200050,ABADIA DE GOIAS,GO,Centro-Oeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,52036499,ESCOLA MUNICIPAL NOSSA SENHORA DO PERPETUO SOCORRO,5200050,ABADIA DE GOIAS,GO,Centro-Oeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,52074820,ESCOLA MUNICIPAL PAULINO INACIO ROSA,5200050,ABADIA DE GOIAS,GO,Centro-Oeste,1,3,0.0,4.5,0.0,Em atividade,Municipal
2013,52032094,ESCOLA MUNICIPAL VITAL LUIZ DA COSTA,5200050,ABADIA DE GOIAS,GO,Centro-Oeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,52043223,COLEGIO ESTADUAL OSORIO RODRIGUES CAMARGO,5200100,ABADIANIA,GO,Centro-Oeste,1,2,0.0,4.900000095367432,0.0,Em atividade,Estadual
2013,52171205,CRECHE MUNICIPAL EMILIA DE OLIVEIRA NASCIMENTO,5200100,ABADIANIA,GO,Centro-Oeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,52043240,ESC MUL EPAMINONDAS PEREIRA BORGES,5200100,ABADIANIA,GO,Centro-Oeste,1,3,4.800000190734863,0.0,0.0,Em atividade,Municipal
2013,52070689,ESC MUL OS PEQUENINOS,5200100,ABADIANIA,GO,Centro-Oeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,52043517,ESC MUNICIPAL JOSE SIZENANDO DINIZ,5200100,ABADIANIA,GO,Centro-Oeste,1,3,5.0,0.0,0.0,Em atividade,Municipal
2013,52085490,ESCOLA ANA MARIA RIVIER,5200100,ABADIANIA,GO,Centro-Oeste,1,4,0.0,0.0,0.0,Em atividade,Privada
2013,52043487,ESCOLA ESTADUAL ANDRE GAUDIE FLEURY CURADO,5200100,ABADIANIA,GO,Centro-Oeste,1,2,0.0,0.0,0.0,Em atividade,Estadual
