anoCenso,cod,nome,codCidade,cidade,estado,regiao,situacaoFuncionamento,dependenciaAdministrativa,idebAI,idebAF,enemMediaGeral,situacaoFuncionamentoTxt,dependenciaAdministrativaTxt
2013,21349401,CE - JOSE CESARIO DA SILVA,2100055,ACAILANDIA,MA,Nordeste,1,2,0.0,0.0,0.0,Em atividade,Estadual
2013,21228302,CE DARCY RIBEIRO,2100055,ACAILANDIA,MA,Nordeste,1,2,0.0,0.0,0.0,Em atividade,Estadual
2013,21259976,CE DARCY RIBEIRO ANEXO I,2100055,ACAILANDIA,MA,Nordeste,1,2,0.0,0.0,0.0,Em atividade,Estadual
2013,21259968,CE DARCY RIBEIRO ANEXO II,2100055,ACAILANDIA,MA,Nordeste,1,2,0.0,0.0,0.0,Em atividade,Estadual
2013,21226253,CE JOAO PAULO II,2100055,ACAILANDIA,MA,Nordeste,1,4,0.0,0.0,517.260009765625,Em atividade,Privada
2013,21254036,CE JOVIANA SILVA FARIAS,2100055,ACAILANDIA,MA,Nordeste,1,2,0.0,0.0,0.0,Em atividade,Estadual
2013,21349010,CE JOVIANA SILVA FARIAS ANEXO I,2100055,ACAILANDIA,MA,Nordeste,1,2,0.0,0.0,0.0,Em atividade,Estadual
2013,21259992,CE LOURENCO ANTONIO GALLETI ANEXO I,2100055,ACAILANDIA,MA,Nordeste,1,2,0.0,0.0,0.0,Em atividade,Estadual
2013,21260010,CE LOURENCO ANTONIO GALLETI ANEXO III,2100055,ACAILANDIA,MA,Nordeste,1,2,0.0,0.0,0.0,Em atividade,Estadual
2013,21219516,CE LOURENCO ANTONIO GALLETTI,2100055,ACAILANDIA,MA,Nordeste,1,2,0.0,4.199999809265137,476.0799865722656,Em atividade,Estadual
2013,21259984,CE LOURENCO ANTONIO GALLETTI ANEXO II,2100055,ACAILANDIA,MA,Nordeste,1,2,0.0,0.0,0.0,Em atividade,Estadual
2013,21088179,CE MARIA IZABEL RODRIGUES CAFETEIRA,2100055,ACAILANDIA,MA,Nordeste,1,2,0.0,0.0,0.0,Em atividade,Estadual
2013,21194089,CE MARY DALVA CASTRO ROCHA,2100055,ACAILANDIA,MA,Nordeste,1,2,0.0,0.0,0.0,Em atividade,Estadual
2013,21090289,CE PROF ANTONIO CARLOS BECKMAN,2100055,ACAILANDIA,MA,Nordeste,1,2,0.0,0.0,482.260009765625,Em atividade,Estadual
2013,21241910,CENTRO EDUCACIONAL DR EDILSON CARIDADE,2100055,ACAILANDIA,MA,Nordeste,1,4,0.0,0.0,0.0,Em atividade,Privada
2013,21218226,CENTRO EDUCACIONAL PINGUINHO DE GENTE - CEPIG,2100055,ACAILANDIA,MA,Nordeste,1,4,0.0,0.0,0.0,Em atividade,Privada
2013,21264988,CENTRO EDUCACIONAL SANTA CLARA,2100055,ACAILANDIA,MA,Nordeste,1,4,0.0,0.0,0.0,Em atividade,Privada
2013,21088217,CENTRO ESTUDANTIL RUI BARBOSA,2100055,ACAILANDIA,MA,Nordeste,1,4,0.0,0.0,0.0,Em atividade,Privada
