anoCenso,cod,nome,codCidade,cidade,estado,regiao,situacaoFuncionamento,dependenciaAdministrativa,idebAI,idebAF,enemMediaGeral,situacaoFuncionamentoTxt,dependenciaAdministrativaTxt
2013,31249939,APAE ESC CRESCER,3100104,ABADIA DOS DOURADOS,MG,Sudeste,1,4,0.0,0.0,0.0,Em atividade,Privada
2013,31313262,C EDUC INF MUN D ESMERALDA MARRA,3100104,ABADIA DOS DOURADOS,MG,Sudeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,31313271,C EDUC INF MUN D LAUREANA BATISTA,3100104,ABADIA DOS DOURADOS,MG,Sudeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,31200271,EE PEDRO ALVARES CABRAL,3100104,ABADIA DOS DOURADOS,MG,Sudeste,1,2,0.0,5.599999904632568,486.89599609375,Em atividade,Estadual
2013,31200263,EM DE PALMITOS,3100104,ABADIA DOS DOURADOS,MG,Sudeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,31200778,EM EDMUNDO ANTONIO PEREIRA,3100104,ABADIA DOS DOURADOS,MG,Sudeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,31200794,EM HEITOR JOSE DE OLIVEIRA,3100104,ABADIA DOS DOURADOS,MG,Sudeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,31271870,EM LUIZ GARCIA SOBRINHO,3100104,ABADIA DOS DOURADOS,MG,Sudeste,1,3,6.599999904632568,0.0,0.0,Em atividade,Municipal
2013,31266078,APAE -ESCOLA RUY DA CUNHA PEREIRA SOBRINHO,3100203,ABAETE,MG,Sudeste,1,4,0.0,0.0,0.0,Em atividade,Privada
2013,31031895,CENTRO DE ESTUDOS SUPLETIVOS DONA LULU,3100203,ABAETE,MG,Sudeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,31285439,CENTRO MUNICIPAL DE EDUCACAO INFANTIL CONCEICAO CORGOZINHO,3100203,ABAETE,MG,Sudeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,31285455,CENTRO MUNICIPAL DE EDUCACAO INFANTIL DONA ALVARINA,3100203,ABAETE,MG,Sudeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,31285447,CENTRO MUNICIPAL DE EDUCACAO INFANTIL DONA INA,3100203,ABAETE,MG,Sudeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,31040924,COLEGIO CENECISTA NOSSA SENHORA DE FATIMA,3100203,ABAETE,MG,Sudeste,1,4,0.0,0.0,597.97802734375,Em atividade,Privada
2013,31340766,COTEMAR - COLEGIO TECNICO MARTINS DE ABAETE,3100203,ABAETE,MG,Sudeste,1,4,0.0,0.0,0.0,Em atividade,Privada
2013,31342815,CRECHE MUNICIPAL GERALDA FERREIRA DA SILVA,3100203,ABAETE,MG,Sudeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,31031771,ESCOLA ESTADUAL BARAO DO INDAIA,3100203,ABAETE,MG,Sudeste,1,2,6.099999904632568,0.0,0.0,Em atividade,Estadual
2013,31031836,ESCOLA ESTADUAL DOUTOR EDGARDO DA CUNHA PEREIRA,3100203,ABAETE,MG,Sudeste,1,2,0.0,4.099999904632568,524.8779907226562,Em atividade,Estadual
2013,31031852,ESCOLA ESTADUAL FREDERICO ZACARIAS,3100203,ABAETE,MG,Sudeste,1,2,7.0,5.199999809265137,0.0,Em atividade,Estadual
2013,31035742,ESCOLA MUNICIPAL CHICO CIRILO,3100203,ABAETE,MG,Sudeste,1,3,5.800000190734863,0.0,0.0,Em atividade,Municipal
2013,31031810,ESCOLA MUNICIPAL DE VEREDAS,3100203,ABAETE,MG,Sudeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,31031844,ESCOLA MUNICIPAL ESTACAO DE POMPEU,3100203,ABAETE,MG,Sudeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,31035874,ESCOLA MUNICIPAL IRMA MARIA DE LOURDES,3100203,ABAETE,MG,Sudeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,31035807,ESCOLA MUNICIPAL JOAO JOSE GOMES,3100203,ABAETE,MG,Sudeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,31031780,ESCOLA MUNICIPAL JOSE LEOPOLDINO DE SOUSA CRUZ,3100203,ABAETE,MG,Sudeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
