anoCenso,cod,nome,codCidade,cidade,estado,regiao,situacaoFuncionamento,dependenciaAdministrativa,idebAI,idebAF,enemMediaGeral,situacaoFuncionamentoTxt,dependenciaAdministrativaTxt
2013,25033212,EEEF JOAO PEREIRA DOS SANTOS,2500106,AGUA BRANCA,PB,Nordeste,1,2,0.0,0.0,0.0,Em atividade,Estadual
2013,25033204,EEEFM JOSE NOMINANDO,2500106,AGUA BRANCA,PB,Nordeste,1,2,0.0,3.200000047683716,0.0,Em atividade,Estadual
2013,25033476,EMEF ANDRE ALVES DO NASCIMENTO,2500106,AGUA BRANCA,PB,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,25033522,EMEF ANISIO BARBOSA DE SOUZA,2500106,AGUA BRANCA,PB,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,25033670,EMEF ANTONIO VIRGOLINO BATISTA,2500106,AGUA BRANCA,PB,Nordeste,1,3,4.099999904632568,3.799999952316284,0.0,Em atividade,Municipal
2013,25033549,EMEF AUGUSTO DOS ANJOS,2500106,AGUA BRANCA,PB,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,25033565,EMEF FRANCISCO ALVES DA SILVA,2500106,AGUA BRANCA,PB,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,25033573,EMEF FRANCISCO LOPES DA SILVA,2500106,AGUA BRANCA,PB,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,25033301,EMEF GUALTERINA ALENCAR VIDAL,2500106,AGUA BRANCA,PB,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,25033433,EMEF INOCENCIO SALES,2500106,AGUA BRANCA,PB,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,25033328,EMEF IZIDIO HERCULANO DA SILVA,2500106,AGUA BRANCA,PB,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,25033336,EMEF JOANA BATISTA DAS CHAGAS,2500106,AGUA BRANCA,PB,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,25105515,EMEF JOAQUIM MINERVINO DE SOUSA,2500106,AGUA BRANCA,PB,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,25033352,EMEF JOSE BATISTA DIAS,2500106,AGUA BRANCA,PB,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,25033514,EMEF JOSE GOMES DE SALES,2500106,AGUA BRANCA,PB,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,25033395,EMEF MANOEL VICENTE LEITE,2500106,AGUA BRANCA,PB,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,25033654,EMEF MANUEL GONCALVES DE MOURA,2500106,AGUA BRANCA,PB,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,25033425,EMEF SEVERINO FIRMINO DE SANTANA,2500106,AGUA BRANCA,PB,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,25178806,EMEF TIAGO DE OLIVEIRA LIMA,2500106,AGUA BRANCA,PB,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,25033557,EMEIF DELFINO JOSE DOS SANTOS,2500106,AGUA BRANCA,PB,Nordeste,1,3,0.0,2.799999952316284,0.0,Em atividade,Municipal
2013,25033158,EMEIF MAE IAIA,2500106,AGUA BRANCA,PB,Nordeste,1,3,5.599999904632568,0.0,0.0,Em atividade,Municipal
2013,25104969,EMEIF MARIA DE LOURDES GUILHERME,2500106,AGUA BRANCA,PB,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,25160800,CRECHE MUNICIPAL FRANCISCO CIRINO LOPES,2500205,AGUIAR,PB,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,25023446,EEEFM BERNARDINO BENTO,2500205,AGUIAR,PB,Nordeste,1,2,0.0,2.799999952316284,0.0,Em atividade,Estadual
2013,25023489,EEEM AGENOR MENDES PEDROSA,2500205,AGUIAR,PB,Nordeste,1,2,0.0,0.0,449.635986328125,Em atividade,Estadual
2013,25023764,EMEIEF AGENOR MENDES PEDROSA,2500205,AGUIAR,PB,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,25023705,EMEIEF AMELIA ARANTES LEITE,2500205,AGUIAR,PB,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,25112287,EMEIEF CASSIMIRO ALVES DE OLIVEIRA,2500205,AGUIAR,PB,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,25271920,EMEIEF COQUEIROS,2500205,AGUIAR,PB,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,25023772,EMEIEF DOZINHA BENTO,2500205,AGUIAR,PB,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,25023713,EMEIEF FRANCISCO MARIA DA SILVA,2500205,AGUIAR,PB,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,25023780,EMEIEF GREGORIO SOARES BURITI,2500205,AGUIAR,PB,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,25023578,EMEIEF JOANA LACERDA LEITE,2500205,AGUIAR,PB,Nordeste,1,3,3.799999952316284,0.0,0.0,Em atividade,Municipal
2013,25023799,EMEIEF JOAO DELFINO LEITE,2500205,AGUIAR,PB,Nordeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
