anoCenso,cod,nome,codCidade,cidade,estado,regiao,situacaoFuncionamento,dependenciaAdministrativa,idebAI,idebAF,enemMediaGeral,situacaoFuncionamentoTxt,dependenciaAdministrativaTxt
2013,53011007,ACAO SOCIAL PAULA FRASSINETTI,5300108,BRASILIA,DF,Centro-Oeste,1,4,0.0,0.0,0.0,Em atividade,Privada
2013,53000781,ARVENSE - CED,5300108,BRASILIA,DF,Centro-Oeste,1,4,0.0,0.0,0.0,Em atividade,Privada
2013,53000013,ASSOC DE MAES PAIS AMIGOS REABILITADORES DE EXCEP - AMPARE,5300108,BRASILIA,DF,Centro-Oeste,1,4,0.0,0.0,0.0,Em atividade,Privada
2013,53013360,ASSOC DE PAIS E AMIGOS DEFICIENTES AUDITIVOS - APADA - DF,5300108,BRASILIA,DF,Centro-Oeste,1,4,0.0,0.0,0.0,Em atividade,Privada
2013,53000030,ASSOC DE PAIS E AMIGOS DOS EXCEP - APAE-DF,5300108,BRASILIA,DF,Centro-Oeste,1,4,0.0,0.0,0.0,Em atividade,Privada
2013,53003284,ASSOC DE PAIS E AMIGOS EXCEP E DEFICIENTES - APAED,5300108,BRASILIA,DF,Centro-Oeste,1,4,0.0,0.0,0.0,Em atividade,Privada
2013,53018400,C CENECISTA DE EDUC PROFISSIONAL FELIPE TIAGO GOMES,5300108,BRASILIA,DF,Centro-Oeste,1,4,0.0,0.0,0.0,Em atividade,Privada
2013,53007590,C COMUNITARIO SAO LUCAS,5300108,BRASILIA,DF,Centro-Oeste,1,4,0.0,0.0,0.0,Em atividade,Privada
2013,53012704,C DE CONVIVENCIA E EDUC INF NOSSA SENHORA DO CARMO,5300108,BRASILIA,DF,Centro-Oeste,1,4,0.0,0.0,0.0,Em atividade,Privada
2013,53012690,C DE CONVIVENCIA E EDUC INF SAGRADA FAMILIA,5300108,BRASILIA,DF,Centro-Oeste,1,4,0.0,0.0,0.0,Em atividade,Privada
2013,53061004,C DE CONVIVENCIA EDUCACIONAL INF DIVINO ESPIRITO SANTO,5300108,BRASILIA,DF,Centro-Oeste,1,4,0.0,0.0,0.0,Em atividade,Privada
2013,53013042,C DE CRIATIVIDADE INFANTO-JUVENIL - CCI,5300108,BRASILIA,DF,Centro-Oeste,1,4,0.0,0.0,0.0,Em atividade,Privada
2013,53009800,C DE EDUC BRASILEIRO DE RESPONSABILIDADE AMBIENTAL E SOCIAL,5300108,BRASILIA,DF,Centro-Oeste,1,4,0.0,0.0,0.0,Em atividade,Privada
2013,53052005,C DE EDUC INTEGRADA PILARES,5300108,BRASILIA,DF,Centro-Oeste,1,4,0.0,0.0,0.0,Em atividade,Privada
2013,53083016,C DE EDUC INTEGRAL BRASILIENSE CEIB,5300108,BRASILIA,DF,Centro-Oeste,1,4,0.0,0.0,0.0,Em atividade,Privada
2013,53012372,C DE EDUC NATURAL E INTEGRAL - CENI,5300108,BRASILIA,DF,Centro-Oeste,1,4,0.0,0.0,0.0,Em atividade,Privada
2013,53033000,C DE EDUC PROFISSIONAL - CEP,5300108,BRASILIA,DF,Centro-Oeste,1,4,0.0,0.0,0.0,Em atividade,Privada
2013,53013387,C EDUCATIVO PASSIONISTA MAE DA SANTA ESPERANCA,5300108,BRASILIA,DF,Centro-Oeste,1,4,0.0,0.0,556.4180297851562,Em atividade,Privada
2013,53000102,C ESPECIALIZADO PESTALOZZI,5300108,BRASILIA,DF,Centro-Oeste,1,4,0.0,0.0,0.0,Em atividade,Privada
2013,53000803,C INF REINO ENCANTADO,5300108,BRASILIA,DF,Centro-Oeste,1,4,0.0,0.0,0.0,Em atividade,Privada
2013,53014839,C INTEGRADO DE EDUC INF NOSSA SENHORA MAE DOS HOMENS,5300108,BRASILIA,DF,Centro-Oeste,1,4,0.0,0.0,0.0,Em atividade,Privada
2013,53011791,C INTEGRADO EXCELSUS,5300108,BRASILIA,DF,Centro-Oeste,1,4,0.0,0.0,0.0,Em atividade,Privada
2013,53010086,C INTEGRAL OFICINA DO SABER,5300108,BRASILIA,DF,Centro-Oeste,1,4,0.0,0.0,0.0,Em atividade,Privada
2013,53009967,C OLIMPICO DE ENSINO,5300108,BRASILIA,DF,Centro-Oeste,1,4,0.0,0.0,578.68798828125,Em atividade,Privada
2013,53068254,C SOCIAL COMUNITARIO TIA ANGELINA,5300108,BRASILIA,DF,Centro-Oeste,1,4,0.0,0.0,0.0,Em atividade,Privada
2013,53010256,C SOCIAL E ESC MARISTA IRMAO FRANCISCO RIVAT,5300108,BRASILIA,DF,Centro-Oeste,1,4,0.0,0.0,0.0,Em atividade,Privada
2013,53013174,C SOCIAL JOAO PAULO II,5300108,BRASILIA,DF,Centro-Oeste,1,4,0.0,0.0,0.0,Em atividade,Privada
2013,53068009,C SOCIAL LUTERANO CANTINHO DO GIRASSOL,5300108,BRASILIA,DF,Centro-Oeste,1,4,0.0,0.0,0.0,Em atividade,Privada
2013,53013441,C TECNICO EM SAUDE - CETESI,5300108,BRASILIA,DF,Centro-Oeste,1,4,0.0,0.0,0.0,Em atividade,Privada
2013,53009649,CAIC ALBERT SABIN,5300108,BRASILIA,DF,Centro-Oeste,1,2,5.300000190734863,0.0,0.0,Em atividade,Estadual
