anoCenso,cod,nome,codCidade,cidade,estado,regiao,situacaoFuncionamento,dependenciaAdministrativa,idebAI,idebAF,enemMediaGeral,situacaoFuncionamentoTxt,dependenciaAdministrativaTxt
2013,51034050,EE D CEZINA ANTONIA BOTELHO,5100102,ACORIZAL,MT,Centro-Oeste,1,2,0.0,3.5,0.0,Em atividade,Estadual
2013,51034000,EE DOM ANTONIO CAMPELO,5100102,ACORIZAL,MT,Centro-Oeste,1,2,4.900000095367432,0.0,0.0,Em atividade,Estadual
2013,51034026,EE PIO MACHADO,5100102,ACORIZAL,MT,Centro-Oeste,1,2,0.0,4.099999904632568,0.0,Em atividade,Estadual
2013,51034077,EE PONCE DE ARRUDA,5100102,ACORIZAL,MT,Centro-Oeste,1,2,0.0,0.0,408.6340026855469,Em atividade,Estadual
2013,51033828,EMPG DE ALEIXO,5100102,ACORIZAL,MT,Centro-Oeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,51033879,EMPG DE CAMPO LIMPO,5100102,ACORIZAL,MT,Centro-Oeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,51088312,EMPG ED INF EJA AMANCIO R DE ARRUDA,5100102,ACORIZAL,MT,Centro-Oeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,51059959,ESC MUN DA COM DE PEDREGULHO,5100102,ACORIZAL,MT,Centro-Oeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,51021455,COLEGIO JESUS MARIA JOSE,5100201,AGUA BOA,MT,Centro-Oeste,1,4,0.0,0.0,0.0,Em atividade,Privada
2013,51021978,EE 9 DE JULHO,5100201,AGUA BOA,MT,Centro-Oeste,1,2,5.099999904632568,3.9000000953674316,0.0,Em atividade,Estadual
2013,51021960,EE ANTONIO GROHS,5100201,AGUA BOA,MT,Centro-Oeste,1,2,0.0,4.699999809265137,472.5140075683594,Em atividade,Estadual
2013,51021609,EM APOSTOLO PAULO,5100201,AGUA BOA,MT,Centro-Oeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,51021633,EM BOM PRINCIPIO,5100201,AGUA BOA,MT,Centro-Oeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,51021650,EM CAMPO ALEGRE,5100201,AGUA BOA,MT,Centro-Oeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,51021706,EM GUARUJA,5100201,AGUA BOA,MT,Centro-Oeste,1,3,5.400000095367432,0.0,0.0,Em atividade,Municipal
2013,51065070,EM JANDIRA,5100201,AGUA BOA,MT,Centro-Oeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,51021811,EM SANTA CECILIA,5100201,AGUA BOA,MT,Centro-Oeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,51055155,EM VILA NOVA,5100201,AGUA BOA,MT,Centro-Oeste,1,3,5.800000190734863,0.0,0.0,Em atividade,Municipal
2013,51086859,EMAGROVILA CENTRAL,5100201,AGUA BOA,MT,Centro-Oeste,1,3,4.800000190734863,4.599999904632568,0.0,Em atividade,Municipal
2013,51091763,EMEI EDNA LANE DE OLIVEIRA BARBOSA,5100201,AGUA BOA,MT,Centro-Oeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,51021498,EMI BABACU,5100201,AGUA BOA,MT,Centro-Oeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,51060540,EMI JACY KUHN SALAMONI,5100201,AGUA BOA,MT,Centro-Oeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,51062755,EMI TRIPA,5100201,AGUA BOA,MT,Centro-Oeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,51021617,EMPG BELA VISTA,5100201,AGUA BOA,MT,Centro-Oeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,51021935,ESCOLA DE EDUCACAO BASICA RUI BARBOSA,5100201,AGUA BOA,MT,Centro-Oeste,1,4,0.0,0.0,528.6599731445312,Em atividade,Privada
2013,51060507,ESCOLA MUNICIPAL CECILIA MEIRELES,5100201,AGUA BOA,MT,Centro-Oeste,1,3,6.5,0.0,0.0,Em atividade,Municipal
2013,51060523,ESCOLA MUNICIPAL CRISTALINO,5100201,AGUA BOA,MT,Centro-Oeste,1,3,5.900000095367432,5.0,0.0,Em atividade,Municipal
2013,51021943,ESCOLA NOVA ESPERANCA - ASSOCIACAO PESTALOZZI DE AGUA BOA - MT,5100201,AGUA BOA,MT,Centro-Oeste,1,4,0.0,0.0,0.0,Em atividade,Privada
2013,51056313,ASSOC DE PAIS E AMIGOS DOS EXCEPCIONAIS,5100250,ALTA FLORESTA,MT,Centro-Oeste,1,4,0.0,0.0,0.0,Em atividade,Privada
2013,51064081,CEJA ARIOSTO DA RIVA,5100250,ALTA FLORESTA,MT,Centro-Oeste,1,2,0.0,0.0,0.0,Em atividade,Estadual
2013,51056305,CENTRO EDUC ESPECIALIZADO DEF AUDITIVA - CEEDA,5100250,ALTA FLORESTA,MT,Centro-Oeste,1,4,0.0,0.0,0.0,Em atividade,Privada
2013,51003082,COLEGIO ALTA FLORESTA ED INFANTIL EF E EM,5100250,ALTA FLORESTA,MT,Centro-Oeste,1,4,0.0,0.0,598.8179931640625,Em atividade,Privada
2013,51094525,E M MENINO JESUS,5100250,ALTA FLORESTA,MT,Centro-Oeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,51180820,E M TRENZINHO MAGICO,5100250,ALTA FLORESTA,MT,Centro-Oeste,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,51003813,EE 19 DE MAIO,5100250,ALTA FLORESTA,MT,Centro-Oeste,1,2,6.0,5.0,0.0,Em atividade,Estadual
2013,51110407,EE BOA ESPERANCA,5100250,ALTA FLORESTA,MT,Centro-Oeste,1,2,4.199999809265137,0.0,0.0,Em atividade,Estadual
2013,51090317,EE CECILIA MEIRELES,5100250,ALTA FLORESTA,MT,Centro-Oeste,1,2,5.300000190734863,4.599999904632568,0.0,Em atividade,Estadual
2013,51064090,EE DOM BOSCO,5100250,ALTA FLORESTA,MT,Centro-Oeste,1,2,5.800000190734863,5.0,519.3419799804688,Em atividade,Estadual
2013,51110806,EE GUIMARAES ROSA,5100250,ALTA FLORESTA,MT,Centro-Oeste,1,2,0.0,0.0,0.0,Em atividade,Estadual
2013,51110814,EE INDIGENA DE EDUCACAO BASICA ITAWYAK,5100250,ALTA FLORESTA,MT,Centro-Oeste,1,2,0.0,0.0,0.0,Em atividade,Estadual
2013,51110610,EE JARDIM UNIVERSITARIO,5100250,ALTA FLORESTA,MT,Centro-Oeste,1,2,5.5,4.5,0.0,Em atividade,Estadual
2013,51003457,EE JAYME VERISSIMO DE CAMPOS JUNIOR,5100250,ALTA FLORESTA,MT,Centro-Oeste,1,2,0.0,4.0,0.0,Em atividade,Estadual
2013,51003724,EE LUDOVICO DA RIVA NETO,5100250,ALTA FLORESTA,MT,Centro-Oeste,1,2,4.199999809265137,3.4000000953674316,0.0,Em atividade,Estadual
2013,51003228,EE MANOEL BANDEIRA,5100250,ALTA FLORESTA,MT,Centro-Oeste,1,2,5.599999904632568,4.699999809265137,0.0,Em atividade,Estadual
2013,51003554,EE MUNDO NOVO,5100250,ALTA FLORESTA,MT,Centro-Oeste,1,2,0.0,4.800000190734863,0.0,Em atividade,Estadual
2013,51003694,EE OURO VERDE,5100250,ALTA FLORESTA,MT,Centro-Oeste,1,2,0.0,0.0,460.97198486328125,Em atividade,Estadual
2013,51003830,EE PROF MARINES FATIMA DE SA TEIXEIRA,5100250,ALTA FLORESTA,MT,Centro-Oeste,1,2,5.599999904632568,5.199999809265137,0.0,Em atividade,Estadual
2013,51110601,EE RODRIGUES ALVES,5100250,ALTA FLORESTA,MT,Centro-Oeste,1,2,0.0,0.0,0.0,Em atividade,Estadual
2013,51003562,EE RUI BARBOSA,5100250,ALTA FLORESTA,MT,Centro-Oeste,1,2,5.599999904632568,4.699999809265137,0.0,Em atividade,Estadual
2013,51003570,EE VITORIA FURLANI DA RIVA,5100250,ALTA FLORESTA,MT,Centro-Oeste,1,2,0.0,4.199999809265137,480.7539978027344,Em atividade,Estadual
2013,51003538,EEIEF WALT DISNEY,5100250,ALTA FLORESTA,MT,Centro-Oeste,1,4,0.0,0.0,0.0,Em atividade,Privada
2013,51003929,EM CASTELO BRANCO,5100250,ALTA FLORESTA,MT,Centro-Oeste,1,3,0.0,4.300000190734863,0.0,Em atividade,Municipal
2013,51003856,EM GENY SILVERIO DELARINCY,5100250,ALTA FLORESTA,MT,Centro-Oeste,1,3,4.800000190734863,4.0,0.0,Em atividade,Municipal
