anoCenso,cod,nome,codCidade,cidade,estado,regiao,situacaoFuncionamento,dependenciaAdministrativa,idebAI,idebAF,enemMediaGeral,situacaoFuncionamentoTxt,dependenciaAdministrativaTxt
2013,42011272,CENTRO MUNICIPAL DE ENSINO LUIZ ZANCHETT,4200051,ABDON BATISTA,SC,Sul,1,3,5.900000095367432,0.0,0.0,Em atividade,Municipal
2013,42124867,CRECHE E PREESCOLA DONA TEREZA,4200051,ABDON BATISTA,SC,Sul,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,42044553,EEB JOSE ZANCHETTI,4200051,ABDON BATISTA,SC,Sul,1,2,0.0,4.300000190734863,480.2860107421875,Em atividade,Estadual
2013,42132959,CEI E CRECHE UM SONHO A MAIS,4200101,ABELARDO LUZ,SC,Sul,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,42070805,CEI PIERINA FOERNER ANDREIS,4200101,ABELARDO LUZ,SC,Sul,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,42128730,CEI SHALON,4200101,ABELARDO LUZ,SC,Sul,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,42131618,CEI VILA CERES,4200101,ABELARDO LUZ,SC,Sul,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,42087546,E I M PE EZEQUIEL,4200101,ABELARDO LUZ,SC,Sul,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,42111560,E M VILA ESPERANCA,4200101,ABELARDO LUZ,SC,Sul,1,3,5.099999904632568,0.0,0.0,Em atividade,Municipal
2013,42119103,EBM 25 DE MAIO,4200101,ABELARDO LUZ,SC,Sul,1,3,5.0,4.0,0.0,Em atividade,Municipal
2013,42128714,EBM JOSE MARIA,4200101,ABELARDO LUZ,SC,Sul,1,3,5.300000190734863,3.9000000953674316,0.0,Em atividade,Municipal
2013,42145503,EBM PROF LAURY LUIZ DEON,4200101,ABELARDO LUZ,SC,Sul,1,3,0.0,3.9000000953674316,0.0,Em atividade,Municipal
2013,42132444,EBM PROFº ERNESTO SIRINO,4200101,ABELARDO LUZ,SC,Sul,1,3,4.900000095367432,4.599999904632568,0.0,Em atividade,Municipal
2013,42132193,EBM PROFº HILDO B GOULART,4200101,ABELARDO LUZ,SC,Sul,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,42086728,EEB PROFº ANACLETO DAMIANI,4200101,ABELARDO LUZ,SC,Sul,1,2,0.0,4.099999904632568,484.4320068359375,Em atividade,Estadual
2013,42086671,EEF ALTAIR SILVA,4200101,ABELARDO LUZ,SC,Sul,1,2,4.599999904632568,2.799999952316284,0.0,Em atividade,Estadual
2013,42145520,EEM PAULO FREIRE,4200101,ABELARDO LUZ,SC,Sul,1,2,0.0,0.0,0.0,Em atividade,Estadual
2013,42145511,EEM SEMENTE DA CONQUISTA,4200101,ABELARDO LUZ,SC,Sul,1,2,0.0,0.0,430.54400634765625,Em atividade,Estadual
2013,42126029,EI ASSENTAMENTO INDIANOPOLIS,4200101,ABELARDO LUZ,SC,Sul,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,42141249,EIEF CACIQUE KARENH,4200101,ABELARDO LUZ,SC,Sul,1,2,0.0,0.0,0.0,Em atividade,Estadual
2013,42102553,EIEF VILA NOVA,4200101,ABELARDO LUZ,SC,Sul,1,2,0.0,0.0,0.0,Em atividade,Estadual
2013,42111552,EM ROMILDO MENEGATTI,4200101,ABELARDO LUZ,SC,Sul,1,3,6.0,0.0,0.0,Em atividade,Municipal
2013,42103231,ESC AGROTECNICA MUN IRINEU BORNHAUSEN,4200101,ABELARDO LUZ,SC,Sul,1,3,6.199999809265137,4.5,0.0,Em atividade,Municipal
2013,42120691,ESC ESPECIAL AGNALDO ANTONIO PANISSON,4200101,ABELARDO LUZ,SC,Sul,1,4,0.0,0.0,0.0,Em atividade,Privada
2013,42086663,JI PEQUENO PRINCIPE,4200101,ABELARDO LUZ,SC,Sul,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,42135940,UD DE ABELARDO LUZ,4200101,ABELARDO LUZ,SC,Sul,1,2,0.0,0.0,0.0,Em atividade,Estadual
2013,42119898,APAE DE AGROLANDIA,4200200,AGROLANDIA,SC,Sul,1,4,0.0,0.0,0.0,Em atividade,Privada
2013,42023556,CEI ESQUILO,4200200,AGROLANDIA,SC,Sul,1,4,0.0,0.0,0.0,Em atividade,Privada
2013,42023688,CENTRO DE EDUCACAO ADOLFO HEDEL,4200200,AGROLANDIA,SC,Sul,1,3,4.900000095367432,4.199999809265137,0.0,Em atividade,Municipal
2013,42121060,CENTRO DE EDUCACAO EWALD BRUNO JULIUS KRESS,4200200,AGROLANDIA,SC,Sul,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,42118484,CENTRO DE EDUCACAO INFANTIL CANTINHO FELIZ,4200200,AGROLANDIA,SC,Sul,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,42023530,CENTRO DE EDUCACAO INFANTIL CHAPEUZINHO VERMELHO,4200200,AGROLANDIA,SC,Sul,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,42023548,CENTRO DE EDUCACAO INFANTIL CRIANCA FELIZ,4200200,AGROLANDIA,SC,Sul,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,42107679,CENTRO DE EDUCACAO INFANTIL HILDEGARD STOER GRIMM,4200200,AGROLANDIA,SC,Sul,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,42100410,CENTRO DE EDUCACAO INFANTIL PEQUENO PRINCIPE,4200200,AGROLANDIA,SC,Sul,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,42023572,CENTRO DE EDUCACAO INFANTIL PICA-PAU AMARELO,4200200,AGROLANDIA,SC,Sul,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,42073472,CENTRO DE EDUCACAO INFANTIL UTA KRIESER,4200200,AGROLANDIA,SC,Sul,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,42023653,CENTRO DE EDUCACAO JOAQUIM MUNIZ DA COSTA,4200200,AGROLANDIA,SC,Sul,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,42023610,CENTRO DE EDUCACAO OTTO GRIMM,4200200,AGROLANDIA,SC,Sul,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,42023700,CENTRO DE EDUCACAO RUDOLFO THEILACKER,4200200,AGROLANDIA,SC,Sul,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,42023564,CENTRO EDUCACAO INFANTIL HANNA MISFELD,4200200,AGROLANDIA,SC,Sul,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,42023718,EEB PEDRO AMERICO,4200200,AGROLANDIA,SC,Sul,1,2,6.5,4.199999809265137,0.0,Em atividade,Estadual
2013,42023726,EEB SAO JOAO,4200200,AGROLANDIA,SC,Sul,1,2,4.599999904632568,3.5,0.0,Em atividade,Estadual
2013,42147450,UD DE AGROLANDIA,4200200,AGROLANDIA,SC,Sul,1,2,0.0,0.0,0.0,Em atividade,Estadual
2013,42109140,CEI AGRONOMICA,4200309,AGRONOMICA,SC,Sul,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,42121671,CEI BEATRIZ LOPES DA SILVA,4200309,AGRONOMICA,SC,Sul,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,42023319,CEI BRANCA DE NEVE,4200309,AGRONOMICA,SC,Sul,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,42023327,CEI CINDERELA,4200309,AGRONOMICA,SC,Sul,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,42023513,EEB MARIA REGINA DE OLIVEIRA,4200309,AGRONOMICA,SC,Sul,1,2,5.199999809265137,3.9000000953674316,512.1740112304688,Em atividade,Estadual
2013,42023378,ESC MUN ALTO MOSQUITINHO,4200309,AGRONOMICA,SC,Sul,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,42023408,ESC MUN CABECEIRA RIBEIRAO AREIA,4200309,AGRONOMICA,SC,Sul,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,42023360,ESC MUN ROSA LANZNASTER DE SOUZA,4200309,AGRONOMICA,SC,Sul,1,3,0.0,4.599999904632568,0.0,Em atividade,Municipal
2013,42147859,CEA MUN DOUTOR ALVINO RAITTZ,4200408,AGUA DOCE,SC,Sul,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,42042445,CEDUP PROF JALDYR B F DA SILVA,4200408,AGUA DOCE,SC,Sul,1,2,0.0,0.0,470.2959899902344,Em atividade,Estadual
2013,42111110,CEI ESTRELINHA AZUL,4200408,AGUA DOCE,SC,Sul,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,42042437,CEM FREI SILVANO,4200408,AGUA DOCE,SC,Sul,1,3,5.699999809265137,0.0,0.0,Em atividade,Municipal
2013,42114659,CENTRO EDUC MUN MARCELINO IVO DALLA COSTA,4200408,AGUA DOCE,SC,Sul,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,42042429,EEB RUTH LEBARBECHON,4200408,AGUA DOCE,SC,Sul,1,2,5.199999809265137,4.0,470.3680114746094,Em atividade,Estadual
2013,42042232,EI NUCLEO DE COLONIZACAO J MENDES,4200408,AGUA DOCE,SC,Sul,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,42042143,EIM LAGEADO BONITO,4200408,AGUA DOCE,SC,Sul,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,42146038,EM ASSENTAMENTO 1º DE AGOSTO,4200408,AGUA DOCE,SC,Sul,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,42146046,EM ASSENTAMENTO OZIEL ALVES PEREIRA,4200408,AGUA DOCE,SC,Sul,1,3,0.0,0.0,0.0,Em atividade,Municipal
2013,42042402,EM LINDAURA ELEUTERIO DA LUZ,4200408,AGUA DOCE,SC,Sul,1,3,0.0,0.0,0.0,Em atividade,Municipal
